,Time,User,Tweet
60,2022-03-19 14:43:49+00:00,buzzsubash,RT @tamilstock: அயர்லாந்து நாட்டை சார்ந்த Accenture நிறுவனம் நல்ல ரிசல்ட் கொடுத்து இருக்கிறது. இதன் பங்குகள் நியூயார்க் ஸ்டாக் exchange-ல்…
61,2022-03-19 14:43:09+00:00,buzzsubash,"RT @tamilstock: 1. ZENSAR TECH: இந்த பங்கு 2022-ல் 539 வரை சென்று 313 வரை விழுந்து இப்போது 377-ல் வர்த்தகம் ஆகிறது.

2. L &amp; T  Infotech: இ…"
62,2022-03-19 14:42:28+00:00,buzzsubash,"RT @tamilstock: 3. WIPRO:  இந்த பங்கு 2022-ல் 727 வரை சென்று 531 வரை விழுந்து இப்போது 550-ல் வர்த்தகம் ஆகிறது.

4. HCL TECH: இந்த பங்கு 202…"
63,2022-03-19 14:41:48+00:00,buzzsubash,"RT @tamilstock: 5. TCS: இந்த பங்கு 2022-ல் 4043 வரை சென்று 3391 வரை விழுந்து இப்போது 3673-ல் வர்த்தகம் ஆகிறது.

6. TATA  ELXSI: இந்த பங்கு…"
64,2022-03-19 14:41:07+00:00,buzzsubash,"RT @tamilstock: 7. INFY : இந்த பங்கு 2022-ல் 1954 வரை சென்று 1665 வரை விழுந்து இப்போது 1855-ல் வர்த்தகம் ஆகிறது.

5/5

#accenture #tcs #inf…"
65,2022-03-19 14:37:44+00:00,MONODRUNKEN,"RT @ROVGaming: #ROVGameDay | #Torneo🏆

🔶Hoy tendremos a @miamiretkils23 en el cuarto torneo de #TCS de #DBFZ , que irá a por su segunda vic…"
66,2022-03-19 14:34:56+00:00,Raj_Ranga2002,"#StocksOnRadar For Next Few Weeks ,Seems May Show Some Good Momentum

#MCX 
#IndHotel
#Infy
#Voltas
#Trent 
#Balkrishnaind
#TCS 

#Nifty #NiftyFuture #BankNifty 
What's your Watchlist Names ? 🤔"
67,2022-03-19 14:11:13+00:00,yangin_pikapi,"RT @ROVGaming: #ROVGameDay | #Torneo🏆

🔶Hoy tendremos a @miamiretkils23 en el cuarto torneo de #TCS de #DBFZ , que irá a por su segunda vic…"
68,2022-03-19 14:10:10+00:00,ROVGaming,"#ROVGameDay | #Torneo🏆

🔶Hoy tendremos a @miamiretkils23 en el cuarto torneo de #TCS de #DBFZ , que irá a por su segunda victoria!! 💪💪
 
⏰ 19:30 CET
🖥️ https://t.co/603dj0H0UF

#GoROV🧡 https://t.co/MQlVWWQdeg"
69,2022-03-19 14:08:36+00:00,tamilstock,"7. INFY : இந்த பங்கு 2022-ல் 1954 வரை சென்று 1665 வரை விழுந்து இப்போது 1855-ல் வர்த்தகம் ஆகிறது.

5/5

#accenture #tcs #infy #nifty #banknifty"
70,2022-03-19 14:08:35+00:00,tamilstock,"5. TCS: இந்த பங்கு 2022-ல் 4043 வரை சென்று 3391 வரை விழுந்து இப்போது 3673-ல் வர்த்தகம் ஆகிறது.

6. TATA  ELXSI: இந்த பங்கு 2022-ல் 7964 வரை சென்று 5782 வரை விழுந்து இப்போது 7432-ல் வர்த்தகம் ஆகிறது.
 
4/5

#accenture #tcs #infy #nifty #banknifty"
71,2022-03-19 14:08:35+00:00,tamilstock,"3. WIPRO:  இந்த பங்கு 2022-ல் 727 வரை சென்று 531 வரை விழுந்து இப்போது 550-ல் வர்த்தகம் ஆகிறது.

4. HCL TECH: இந்த பங்கு 2022-ல் 1359 வரை சென்று 1070 வரை விழுந்து இப்போது 1197-ல் வர்த்தகம் ஆகிறது.

3/5

#accenture #tcs #infy #nifty #banknifty"
72,2022-03-19 14:08:34+00:00,tamilstock,"1. ZENSAR TECH: இந்த பங்கு 2022-ல் 539 வரை சென்று 313 வரை விழுந்து இப்போது 377-ல் வர்த்தகம் ஆகிறது.

2. L &amp; T  Infotech: இந்த பங்கு 2022-ல் 7589 வரை சென்று 5580 வரை விழுந்து இப்போது 6114-ல் வர்த்தகம் ஆகிறது.

2/5

#accenture #tcs #infy #nifty #banknifty"
